"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
2.54491146634379e-10,0.565475111164707,0.771,0.542,3.28649866763637e-06,"Th0","SAMD9L"
2.69111144622673e-10,0.361523802063083,0.824,0.571,3.4753013216572e-06,"Th0","STAG2"
2.86109981756438e-10,0.27697792926479,0.504,0.242,3.69482430440264e-06,"Th0","SIPA1L1"
3.04290409533865e-10,0.448377069325836,0.542,0.295,3.92960634872033e-06,"Th0","PRKX"
3.90439418529797e-10,-0.430525982036921,0.237,0.497,5.0421346508938e-06,"Th0","STRIP2"
4.7657718974159e-10,0.714769683699244,0.992,0.907,6.15451782832289e-06,"Th0","CD52"
5.49370385887083e-10,-0.561791334097513,0.87,0.918,7.09456916334578e-06,"Th0","OCIAD2"
5.95290179536138e-10,0.522019560002355,0.748,0.493,7.68757737852969e-06,"Th0","CST7"
6.95249573082575e-10,0.440981306259386,0.588,0.349,8.97845298678837e-06,"Th0","LYST"
7.30923273812999e-10,0.241674662841375,0.382,0.163,9.43914315802107e-06,"Th0","TBC1D1"
9.16053045936504e-10,0.311576383659864,0.45,0.215,1.1829909035224e-05,"Th0","FAM101B"
1.29589610940009e-09,0.407220637425641,0.656,0.403,1.67352023567928e-05,"Th0","UTRN"
1.43362417440007e-09,0.163017065059608,0.107,0.015,1.85138225882025e-05,"Th0","KLF2"
1.89024545008548e-09,0.319262853265879,0.565,0.313,2.44106297424039e-05,"Th0","ST3GAL1"
2.10231295191958e-09,-0.732983370792326,0.405,0.651,2.71492694610894e-05,"Th0","LGALS3"
2.12651556091069e-09,0.439136902323919,0.443,0.197,2.74618219536007e-05,"Th0","AC092580.4"
2.6641639129945e-09,0.515012288343341,0.962,0.822,3.4405012772411e-05,"Th0","MX1"
3.06669843438881e-09,-0.412937467321399,0.969,0.995,3.96033435816971e-05,"Th0","RAN"
3.43808160529116e-09,-0.44265930397068,0.168,0.44,4.43993858507301e-05,"Th0","PERP"
3.54775500735727e-09,0.267649083334797,0.382,0.169,4.58157081650117e-05,"Th0","CHST12"
3.55132215582008e-09,0.424096364754791,0.466,0.247,4.58617743202606e-05,"Th0","SOS1"
3.71413388052281e-09,-0.566566514531973,0.84,0.917,4.79643249330716e-05,"Th0","PPP1R2"
3.7963403818529e-09,0.359004459342199,0.71,0.481,4.90259396912483e-05,"Th0","DOCK8"
3.86978884856691e-09,0.348557461597218,0.87,0.655,4.99744531903931e-05,"Th0","XBP1"
4.24191603581711e-09,-0.599971896899469,0.008,0.228,5.47801036865422e-05,"Th0","CTSL"
4.7961515290521e-09,0.420152228514305,0.916,0.759,6.19375008461788e-05,"Th0","NAP1L4"
5.26827564609568e-09,-0.433484169858253,0.198,0.449,6.80345116936796e-05,"Th0","CD200"
5.47067350002187e-09,0.303525323906684,0.611,0.357,7.06482775792824e-05,"Th0","GPR65"
5.7437860534126e-09,0.541593495410577,0.985,0.969,7.41752530937703e-05,"Th0","IFITM2"
5.86797936869343e-09,0.167287694216026,0.137,0.028,7.5779085567307e-05,"Th0","NCALD"
6.08933849398498e-09,0.405388409108298,0.931,0.794,7.8637717311322e-05,"Th0","FYB"
6.6856031706611e-09,0.321218425894469,0.916,0.838,8.63378793459174e-05,"Th0","PTP4A2"
7.13024659996215e-09,0.352294767832724,0.809,0.583,9.20800045919112e-05,"Th0","TLK1"
7.34442936463817e-09,0.373627828788069,0.748,0.529,9.48459608149373e-05,"Th0","PYCARD"
