"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.000544353664009547,-0.12038994203719,0.034,0.135,1,"Th2","SLC22A17"
0.000551566389913379,0.234390058170321,0.855,0.793,1,"Th2","NSA2"
0.000551735534942651,0.110035032111148,0.366,0.234,1,"Th2","PARPBP"
0.000555669428890282,0.157921002483162,0.462,0.32,1,"Th2","GPRIN3"
0.00055816982747407,-0.212624573052215,0.938,0.947,1,"Th2","RBM8A"
0.00056043667736213,0.163127045745289,0.683,0.523,1,"Th2","DDHD1"
0.000563952841334692,-0.232080668900292,0.497,0.586,1,"Th2","PANK2"
0.000567857021313047,0.10650041050576,0.262,0.145,1,"Th2","RAB11FIP4"
0.000574229280949339,-0.207996783348226,0.579,0.67,1,"Th2","ARF5"
0.000575338504785091,0.176458188275582,0.952,0.895,1,"Th2","PARP1"
0.000577328261379529,-0.118434070164629,0.09,0.212,1,"Th2","LPCAT3"
0.000587321857507063,0.184437419515198,0.745,0.616,1,"Th2","TIMM10"
0.000591117955892382,0.157892602061297,1,0.998,1,"Th2","HNRNPA1"
0.00059475624891528,-0.406739453283401,0.772,0.809,1,"Th2","FABP5"
0.000603599445474346,-0.138306635206366,0.172,0.301,1,"Th2","QSOX1"
0.000604510136136262,-0.155718480099763,0.407,0.531,1,"Th2","UNC50"
0.000606135843532803,-0.222539417156717,0.966,0.973,1,"Th2","MIF"
0.000610611948230738,-0.190089834885859,0.69,0.742,1,"Th2","SDHB"
0.000614574789958083,-0.213141174919669,0.572,0.673,1,"Th2","DERL1"
0.000633160292811488,0.211055904572545,0.579,0.449,1,"Th2","GRK6"
0.000643340455893864,-0.204454615063829,0.745,0.818,1,"Th2","THYN1"
0.000645020000396468,-0.389201540529289,0.586,0.671,1,"Th2","MAF"
0.000645542501347637,-0.191892803147864,0.676,0.772,1,"Th2","PSMC4"
0.00066584710575874,0.14231015221234,0.359,0.227,1,"Th2","G2E3"
0.000670192568993971,0.117000687333751,0.483,0.323,1,"Th2","DIDO1"
0.000673071107440188,-0.449506299061796,0.545,0.6,1,"Th2","SLC4A7"
0.000675570273364835,-0.276872247312968,0.172,0.289,1,"Th2","CXCR3"
0.000678452521088676,0.143061766015699,0.503,0.367,1,"Th2","MAN1A2"
0.000684151846548315,-0.297693983949144,0.462,0.573,1,"Th2","RP11-138A9.1"
0.000697029251200201,-0.119959838696983,0.097,0.214,1,"Th2","FLYWCH1"
0.000698633584955636,-0.228165897776874,0.531,0.661,1,"Th2","FOXP1"
0.000700214566948047,-0.188075979112062,0.221,0.353,1,"Th2","TSC22D3"
0.000700551055652892,0.186759184140261,0.697,0.55,1,"Th2","TGS1"
0.000712119295907762,0.171847567663208,0.538,0.406,1,"Th2","UBE2G2"
0.000714058039755914,0.150892326906753,0.89,0.784,1,"Th2","PTPN1"
0.0007160342621353,0.213729894898617,0.821,0.738,1,"Th2","USP1"
0.000720132071281762,-0.18828439534031,0.876,0.949,1,"Th2","IL2RA"
0.000724967644053232,-0.185493488858743,0.455,0.575,1,"Th2","FARSA"
0.000734450573631348,-0.27007238445507,0.71,0.777,1,"Th2","MCM6"
0.000736475149264642,0.113849912152144,0.607,0.437,1,"Th2","EBLN3"
0.000751520864293304,-0.174959510248311,0.683,0.733,1,"Th2","GNAI3"
0.000764493805139773,-0.210840909811138,0.717,0.761,1,"Th2","NDUFA9"
0.000772271909870601,-0.204718042210144,0.531,0.669,1,"Th2","NKAP"
0.00077435059130087,0.14062783590909,1,1,1,"Th2","RPL31"
0.000783248059364343,-0.216796334264352,0.931,0.938,1,"Th2","XRCC6"
0.000785865348426842,-0.232078219409487,0.662,0.725,1,"Th2","ARF4"
0.000790352819600934,-0.176952853318316,0.566,0.682,1,"Th2","DDRGK1"
0.000790660149344442,0.145963152955383,0.49,0.356,1,"Th2","LYRM7"
0.000794491338942738,0.286087241947388,0.972,0.967,1,"Th2","H3F3A"
0.000807437864848702,0.448276899484284,0.931,0.885,1,"Th2","CD52"
0.000808366899331491,0.129386364605758,0.559,0.414,1,"Th2","UBE2J1"
0.000809196979433466,-0.132798283461638,0.124,0.249,1,"Th2","ORAI3"
0.000818169050850501,0.212060223587067,0.993,0.982,1,"Th2","TMA7"
0.00082535427951783,0.140226969530635,0.379,0.249,1,"Th2","DENND4A"
0.000844144990381379,-0.271396907553045,0.462,0.563,1,"Th2","HCFC1R1"
0.000847595354502462,-0.253006514361277,0.552,0.687,1,"Th2","H2AFJ"
0.000852087081199295,-0.258128817316201,0.938,0.95,1,"Th2","CACYBP"
0.000853209810929041,0.147265022113465,0.345,0.215,1,"Th2","CSF1"
0.000862795858552976,0.176871843251069,0.779,0.682,1,"Th2","CHD4"
0.000870379053422425,-0.149360655722593,0.766,0.83,1,"Th2","PSMC1"
0.000876190066808353,-0.201296794837369,0.862,0.924,1,"Th2","UBE2I"
0.00087783586113284,-0.204224583014173,0.766,0.82,1,"Th2","SFT2D1"
0.000881179649318779,-0.146506228917799,0.241,0.373,1,"Th2","PRKD2"
0.000882604974176125,-0.247616675392611,0.759,0.761,1,"Th2","PFKP"
0.000883747194034409,0.139824340831503,0.6,0.465,1,"Th2","RANBP2"
0.000887860157984081,-0.207246725316306,0.945,0.959,1,"Th2","RAC1"
0.000902209056165323,0.284169458952081,0.834,0.747,1,"Th2","SMC4"
0.000903043689065952,-0.235740043852495,0.931,0.952,1,"Th2","EIF4A2"
0.000903301646208809,-0.178375696448116,0.214,0.343,1,"Th2","RHEBL1"
0.000907488661581711,-0.237337426645506,0.841,0.897,1,"Th2","DARS"
0.000909824596282911,0.177623737686452,0.821,0.68,1,"Th2","CHD1"
0.000923369427182558,-0.225730694431918,0.166,0.291,1,"Th2","IGFBP4"
0.000926448593980565,-0.188397109618452,0.579,0.653,1,"Th2","COMMD1"
0.000926995051502807,-0.228427278055894,0.559,0.651,1,"Th2","LRP10"
0.000931546095321273,-0.224748917429069,0.586,0.664,1,"Th2","RNF145"
0.00093500035396223,-0.190814586142053,0.579,0.67,1,"Th2","NR1H2"
0.00093619561389161,0.108959108399431,0.469,0.323,1,"Th2","PDE4D"
0.000936946386527693,-0.184278045790918,0.621,0.705,1,"Th2","CCNDBP1"
0.000940516832754914,-0.196735317927302,0.434,0.526,1,"Th2","UROD"
0.000965330877096464,0.12511925851197,0.724,0.544,1,"Th2","BCL2"
0.000968000317966985,-0.158757179626886,0.959,0.97,1,"Th2","SAP18"
0.000970129195714343,0.12532289305594,0.372,0.243,1,"Th2","MTMR6"
0.000974646652049856,-0.248397588334928,0.883,0.913,1,"Th2","FAM162A"
0.000981485462325233,-0.100659637779886,0.034,0.129,1,"Th2","S100A2"
0.000982591477983805,-0.295791178466466,0.441,0.553,1,"Th2","AHNAK"
0.00098631083443171,-0.986047098060275,0.441,0.596,1,"Th2","GZMB"
0.000989483136243037,-0.104055960220553,0.076,0.185,1,"Th2","PCTP"
0.00100000915468872,0.138912625481464,0.462,0.33,1,"Th2","SKIV2L2"
0.00101310348024236,-0.236375626911344,0.993,1,1,"Th2","PFN1"
0.00101563951297517,0.154723523517711,0.745,0.568,1,"Th2","NIPBL"
0.00101938837223668,-0.17963982690372,0.393,0.513,1,"Th2","UBQLN2"
0.00102477733234478,0.14774615018439,0.572,0.428,1,"Th2","RBBP8"
0.00103076071880029,0.166557742527109,0.738,0.628,1,"Th2","PPIH"
0.00103287609938916,-0.230681530871451,0.255,0.373,1,"Th2","ACTA2"
0.00103807075321476,0.130073113955789,0.428,0.288,1,"Th2","MCM10"
0.00103990795990572,-0.251932141384228,0.628,0.699,1,"Th2","CAPN2"
0.00104450988707257,0.144583978928384,0.524,0.394,1,"Th2","PAXBP1"
0.00104658162967685,-0.161708523515007,0.966,0.987,1,"Th2","UBL5"
0.00106439021005597,0.23937412952604,0.979,0.932,1,"Th2","COTL1"
0.00106872463254243,-0.257581418892353,0.579,0.66,1,"Th2","PLGRKT"
0.00107008643414009,-0.179278045566473,0.214,0.327,1,"Th2","DLGAP4"
0.00107821113608546,0.200297045589325,0.938,0.909,1,"Th2","RBM3"
0.00107906902114077,-0.187206067053977,0.407,0.531,1,"Th2","SCCPDH"
0.00109357800640814,-0.233973087898483,0.876,0.898,1,"Th2","VAMP5"
0.00110964615026534,-0.148473677810449,0.276,0.414,1,"Th2","DNAJC18"
0.00111702415992068,0.198893324518287,0.876,0.795,1,"Th2","ZRANB2"
0.00111709747189265,-0.214062460698896,0.441,0.559,1,"Th2","RNF149"
0.00111835479657521,-0.147594419422509,0.076,0.177,1,"Th2","PRR5"
0.00112259763648861,0.155547641320299,0.552,0.418,1,"Th2","GMCL1"
0.00112554944969866,0.135784989314165,0.483,0.347,1,"Th2","TAF2"
0.0011441112828586,-0.114734778069368,0.083,0.191,1,"Th2","APOBEC3F"
0.00115398253217061,0.110255900366394,0.414,0.278,1,"Th2","TMEM245"
